symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
LTCRUB,-96.80000000,-2.545,3741.81525786,3803.00000000,3706.40000000,0.19300000,3702.10000000,3.22300000,3708.90000000,0.50000000,3803.20000000,3842.40000000,3641.10000000,666.72500000,2494761.77780000,1662919797748,1663006197748,1092529,1093496,968
TRXTRY,-0.01190000,-1.008,1.17545068,1.18110000,1.16870000,3447.00000000,1.16830000,3900.00000000,1.16860000,4514.00000000,1.18060000,1.18630000,1.16160000,17563125.00000000,20644587.20140000,1662919796542,1663006196542,7661712,7669346,7635
XLMEUR,-0.00070000,-0.616,0.11334937,0.11350000,0.11290000,6305.00000000,0.11260000,6589.00000000,0.11280000,3718.00000000,0.11360000,0.11490000,0.11050000,1063985.00000000,120602.02970000,1662919782328,1663006182328,3645887,3646834,948
DFETH,0.00000000,0.000,0.00000000,0.00007020,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1661527756652,1661614156652,-1,-1,0
DFBUSD,-0.00080000,-2.186,0.03626984,0.03660000,0.03580000,11125.00000000,0.03570000,43844.00000000,0.03590000,34180.00000000,0.03660000,0.03700000,0.03550000,3306950.00000000,119942.54950000,1662919794868,1663006194868,9025087,9026048,962
GRTBTC,0.00000038,7.063,0.00000560,0.00000538,0.00000576,824.00000000,0.00000574,21024.00000000,0.00000575,9363.00000000,0.00000538,0.00000603,0.00000526,8489846.00000000,47.56897722,1662919796878,1663006196878,12548968,12558226,9259
GRTETH,0.00000870,13.242,0.00007299,0.00006580,0.00007440,3082.00000000,0.00007440,3077.00000000,0.00007450,8135.00000000,0.00006570,0.00007900,0.00006550,1288067.00000000,94.01745520,1662919797396,1663006197396,1784172,1785271,1100
GRTUSDT,0.01170000,10.043,0.12296739,0.11660000,0.12820000,839.00000000,0.12810000,20725.00000000,0.12820000,17899.00000000,0.11650000,0.13450000,0.11400000,148643320.00000000,18278280.81650000,1662919797836,1663006197836,89992842,90072344,79503
JUVBTC,-0.00001310,-5.176,0.00024649,0.00025300,0.00024000,18.69000000,0.00023990,37.54000000,0.00024080,56.03000000,0.00025310,0.00025310,0.00023710,8388.28000000,2.06765907,1662919787527,1663006187527,2948006,2948761,756
JUVBUSD,-0.11000000,-2.015,5.39714534,5.46000000,5.35000000,830.54000000,5.35000000,77.98000000,5.37000000,29.85000000,5.46000000,5.47000000,5.20000000,39760.82000000,214594.92440000,1662919785749,1663006185749,2762496,2763732,1237
